variant,run,finger,model_best_epoch,mae_at_model_best,accuracy_at_model_best,profile_accuracy_at_model_best,corr_at_model_best,r2_at_model_best,bias_at_model_best,best_finger_epoch,best_finger_mae,best_finger_accuracy,final_finger_mae,final_finger_accuracy
selftouch_fcn_pos,winter-donkey-1,index,450,586.3763427734375,89.72725140831685,71.19231905255998,0.869256134704267,0.752767679347915,80.6615219116211,450,586.3763427734375,89.72725140831685,589.3049926757812,89.67594428358268
selftouch_fcn_pos,winter-donkey-1,thumb,450,508.015380859375,91.10005996559633,98.33629182406834,0.7394259707538748,0.5465284821330456,2.0359184741973877,500,507.43084716796875,91.11030043271133,507.43084716796875,91.11030043271133
selftouch_fcn_pos,winter-donkey-1,middle,450,431.4834899902344,92.44082496035429,94.47669982910156,0.8964350228791783,0.8032508633407327,15.46529483795166,500,429.4923400878906,92.47570798830589,429.4923400878906,92.47570798830589
selftouch_fcn_pos,winter-donkey-1,ring,450,230.07644653320312,95.96928231973942,97.93108088629586,0.9500709357894094,0.9018448399480277,5.738438606262207,500,229.86695861816406,95.97295234618356,229.86695861816406,95.97295234618356
selftouch_fcn_vel,proud-snow-1,index,450,591.869140625,89.63102288189445,80.61463492257255,0.8673173677122877,0.7505933928451071,54.27883529663086,450,591.869140625,89.63102288189445,594.0065307617188,89.5935778659291
selftouch_fcn_vel,proud-snow-1,thumb,450,508.4717102050781,91.09206551510188,97.0622079713004,0.7370913447463718,0.5430861427766716,7.962509632110596,450,508.4717102050781,91.09206551510188,508.82244873046875,91.08592091404975
selftouch_fcn_vel,proud-snow-1,middle,450,427.3573303222656,92.513111302463,93.91323838915143,0.8981928716228207,0.8062814675737742,17.042970657348633,450,427.3573303222656,92.513111302463,427.4661865234375,92.511204246694
selftouch_fcn_vel,proud-snow-1,ring,450,219.4635772705078,96.15520956444445,96.46301065172467,0.954788872469747,0.9107078745469959,-9.876254081726074,400,216.8911895751953,96.20027531854582,223.46942138671875,96.08503103488667
selftouch_fcn_trq,swift-forest-1,index,450,596.10498046875,89.55681504877542,75.75963429042272,0.8644294874905959,0.7455111922574871,67.87303924560547,500,592.3952026367188,89.62180678227409,592.3952026367188,89.62180678227409
selftouch_fcn_trq,swift-forest-1,thumb,450,513.7429809570312,90.99971793003836,98.498660666602,0.7365913312586838,0.5424554573023774,-0.6394953727722168,450,513.7429809570312,90.99971793003836,514.6027221679688,90.98465609232488
selftouch_fcn_trq,swift-forest-1,middle,450,433.2300109863281,92.41022759515685,91.80507591792515,0.8973849685627758,0.80495943791583,22.94579315185547,400,431.8406677246094,92.43456755056447,432.849609375,92.41689186489626
selftouch_fcn_trq,swift-forest-1,ring,450,224.5498504638672,96.06610295837493,98.6893310717174,0.9527522715020327,0.9066914827070589,3.3940820693969727,250,220.90423583984375,96.12997061428618,227.83221435546875,96.00859910532834
selftouch_fcn_cmd,serene-snow-1,index,450,599.863037109375,89.49097751706354,77.921998160226,0.8633587078536585,0.7437208438372291,61.81836700439453,400,598.12255859375,89.52146902382466,600.9111328125,89.47261589011369
selftouch_fcn_cmd,serene-snow-1,thumb,450,512.5166625976562,91.02120184622031,86.4208425794329,0.7331516666189538,0.5348889580850739,-38.021610260009766,500,509.44366455078125,91.07503781137704,509.44366455078125,91.07503781137704
selftouch_fcn_cmd,serene-snow-1,middle,450,443.1874694824219,92.23578251563902,97.63977919306073,0.8916950879762551,0.7948644627884491,6.045096397399902,450,443.1874694824219,92.23578251563902,443.90802001953125,92.22315916443029
selftouch_fcn_cmd,serene-snow-1,ring,450,235.52987670898438,95.87374347706866,90.09684222085134,0.9503241720753874,0.8998295428479132,-27.728845596313477,250,222.1245880126953,96.1085912199441,239.99163818359375,95.79557771463708
