variant,model,run,condition,use_tactile_history,history_steps,epoch,checkpoint,manifest_ok,prediction_raw_mae,prediction_raw_accuracy,prediction_active_taxel_accuracy,prediction_active_taxel_mae,prediction_profile_accuracy,prediction_line_accuracy,prediction_peak_accuracy,prediction_peak_mae,pca_total_explained_variance,pca_raw_pred_gap,pca_centroid_raw_pred_gap,pca_raw_combo_centroid_spread,latent_pca_total_explained_variance,latent_combo_centroid_spread,latent_combo_within_spread,latent_combo_nearest_centroid_distance,latent_combo_separation_ratio,latent_combo_nearest_separation_ratio,best_active_acc,best_active_epoch,best_raw_acc,best_raw_epoch,best_raw_mae,best_mae_epoch,index_raw_mae,index_raw_accuracy,index_active_taxel_accuracy,index_active_taxel_mae,index_profile_accuracy,index_peak_accuracy,thumb_raw_mae,thumb_raw_accuracy,thumb_active_taxel_accuracy,thumb_active_taxel_mae,thumb_profile_accuracy,thumb_peak_accuracy,middle_raw_mae,middle_raw_accuracy,middle_active_taxel_accuracy,middle_active_taxel_mae,middle_profile_accuracy,middle_peak_accuracy,ring_raw_mae,ring_raw_accuracy,ring_active_taxel_accuracy,ring_active_taxel_mae,ring_profile_accuracy,ring_peak_accuracy,zero_baseline_raw_accuracy,zero_baseline_active_taxel_accuracy,train_mean_baseline_raw_accuracy,train_mean_baseline_active_taxel_accuracy,previous_timestep_baseline_raw_accuracy,previous_timestep_baseline_active_taxel_accuracy
selftouch_contrastive_fcn,Contrastive FCN,fine-field-9,history-2step,True,2,500.0,model_weight/selftouch_contrastive_fcn/fine-field-9/epoch499.pth,True,47.60072040557861,96.99748501854532,88.6991180261608,92.6424036026001,97.20168478786945,97.20168478786945,80.27980505783059,129.03322982788086,0.5602519512176514,22.319669723510742,22.29174041748047,3.0842324415842692,0.6119758486747742,8.663242435455322,1.2985551569338554,3.8637989362080893,6.671447407679582,2.97546000689819,88.6991180261608,500.0,96.99748501854532,500.0,47.60072040557861,500.0,53.92311096191406,96.36091617933722,86.5023046836878,110.83555603027344,96.64884924888611,73.26179111452318,49.01744842529297,97.71892694699712,88.55201359048665,99.72045135498047,98.79104574521382,84.7968632809309,58.77079772949219,95.32672983920625,83.81489182210292,112.3392333984375,98.41138035058975,71.49874753386092,28.691524505615234,98.58336710864069,95.92726200836586,47.674373626708984,94.95546380678813,91.56181830200735,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
selftouch_fcn,FCN,balmy-spaceship-8,history-2step,True,2,500.0,model_weight/selftouch_fcn/balmy-spaceship-8/epoch499.pth,True,47.04261827468872,96.96887732346644,88.51134553377946,92.42913055419922,94.85972598195076,94.85972598195076,79.90894642945949,130.4012451171875,0.5653384923934937,22.3207950592041,22.29356575012207,3.1239476362864176,0.2962930500507355,8.230101458231609,1.7787848632795074,4.956562598546346,4.62681104844683,2.786487956395153,88.51134553377946,500.0,96.96887732346644,500.0,47.04261827468872,500.0,53.34239959716797,96.16134781397939,85.78922278859218,110.09169006347656,96.43461267153423,72.03678360425916,48.73881912231445,97.8185092360531,88.62218669153815,99.64196014404297,98.53314797083537,84.90156910212902,58.696834564208984,95.31421515275574,83.8313562208616,111.7901611328125,97.22088674704233,71.75589102436213,27.392419815063477,98.58143709107753,95.80261643412594,48.192710876464844,87.25025653839111,90.94154198708767,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
selftouch_temporal_mixer,Temporal Mixer,earthy-resonance-9,history-2step,True,2,500.0,model_weight/selftouch_temporal_mixer/earthy-resonance-9/epoch499.pth,True,49.056798458099365,96.77672026129729,88.07045860028522,93.0222396850586,98.75343158841133,98.75343158841133,79.7119329777884,126.85739135742188,0.5601900815963745,22.25318717956543,22.225358963012695,3.1288047790527345,0.316679447889328,8.377550872166951,1.9446247559152172,4.073184132575989,4.3080552413435385,2.094586176683217,88.07045860028522,500.0,96.77672026129729,500.0,49.056798458099365,500.0,55.2395133972168,95.96832358674465,85.48828139662331,109.51766204833984,98.81739765405655,71.97141649142718,51.38164520263672,97.58293882855287,88.31529040782563,101.31527709960938,98.97176831960678,85.05899913116446,62.668663024902344,94.72239696186017,82.00343033482395,116.38427734375,98.34459294875462,69.85391589634457,26.9373722076416,98.83322166803147,96.474832261868,44.871742248535156,98.87996743122737,91.96340039221735,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
selftouch_contrastive_temporal,Contrastive Temporal,serene-jazz-9,history-2step,True,2,500.0,model_weight/selftouch_contrastive_temporal/serene-jazz-9/epoch499.pth,True,49.94673299789429,96.63163906067821,87.7803985739648,93.51871013641357,98.82359827558199,98.82359827558199,79.44355033015715,127.47102737426758,0.5581004619598389,22.229326248168945,22.202369689941406,3.1001789887746174,0.5967008471488953,8.694452333450318,0.9658232743347503,5.173016468683879,9.002115153457005,5.356069382617645,87.7803985739648,500.0,96.63163906067821,500.0,49.94673299789429,500.0,55.90205001831055,95.73235867446394,85.03625935573956,109.73770904541016,98.97872030735016,71.51913170221526,52.655662536621094,97.33663789102386,87.48165173267601,103.2630386352539,98.9034453034401,84.34313805573915,62.641258239746094,94.66897655826152,82.20591222964966,115.4056625366211,98.77675344546635,69.64775775309792,28.587961196899414,98.78858311896353,96.397770977794,45.66843032836914,98.63547404607137,92.26417380957628,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
selftouch_mamba,Mamba,decent-universe-9,history-2step,True,2,500.0,model_weight/selftouch_mamba/decent-universe-9/epoch499.pth,True,49.23979663848877,96.61959072488227,87.6244257247681,95.85379695892334,92.79794571300347,92.79794571300347,79.37158202142967,131.56708335876465,0.5645071268081665,22.375879287719727,22.347169876098633,3.1408107757568358,0.3165024220943451,8.417362546920776,1.678258563741497,4.85140864054362,5.015533797220836,2.8907396901511566,87.6244257247681,500.0,96.61959072488227,500.0,49.23979663848877,500.0,55.294918060302734,95.86336675020885,85.1901551720255,112.67053985595703,88.61464738845825,71.60536065956808,52.03779983520508,97.25582474705283,87.05994692604067,106.48609924316406,98.90199134747188,84.15971722002332,61.30274200439453,94.77268869384618,82.42561377088354,115.44225311279297,90.02305587132771,70.55330185542329,28.323726654052734,98.58648270842122,95.82198703012268,48.8162956237793,93.65208824475606,91.16794835070401,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
selftouch_contrastive_mamba,Contrastive Mamba,crisp-sunset-7,history-2step,True,2,500.0,model_weight/selftouch_contrastive_mamba/crisp-sunset-7/epoch499.pth,True,48.956016063690186,96.6155697346762,87.59094743350961,95.30149364471436,95.9558474769195,95.9558474769195,79.45659987651442,130.69659042358398,0.5645506381988525,22.345930099487305,22.319578170776367,3.101645008722941,0.5705033540725708,8.365303921699525,1.1066493575284846,3.6193970441818237,7.5591277985124625,3.2705906523680985,87.59094743350961,500.0,96.6155697346762,500.0,48.956016063690186,500.0,55.403438568115234,95.64821776663882,84.6983454322971,112.96910858154297,96.30807995796204,71.07936401971583,51.13645553588867,97.41236424394319,87.5056349444278,105.21430206298828,98.60672185818355,84.28818606447204,60.65205001831055,94.80407526119416,82.19450799014251,115.18850708007812,93.43755642573038,70.82707100263794,28.63212013244629,98.59762166692859,95.96530136717105,47.83405685424805,95.471031665802,91.63177841923186,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
selftouch_gru_attention,GRU-Attention,summer-totem-1,history-2step,True,2,500.0,model_weight/selftouch_gru_attention/summer-totem-1/epoch499.pth,True,48.01190757751465,96.77077077939899,87.20399883030693,97.49925708770752,92.15525977313519,92.15525977313519,77.80472504104078,138.15560913085938,0.5644366145133972,22.325511932373047,22.29925537109375,3.125943930943807,0.44699689745903015,13.398604774475098,4.049726741010961,7.514427661895752,3.3085207055551393,1.855539433265533,87.20399883030693,500.0,96.77077077939899,500.0,48.01190757751465,500.0,53.9531364440918,96.0659844054581,84.41626566171448,114.36796569824219,95.37306865056355,69.7233441258609,49.98939895629883,97.56051239209134,86.71818615857788,107.30693054199219,98.6726360519727,82.72985155536414,60.57954788208008,94.85786178593895,81.94391682004488,118.93367767333984,84.64513778686523,68.01090643080401,27.52554702758789,98.59872453410755,95.73762668089049,49.38845443725586,89.93019660313925,90.75479805213405,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
selftouch_contrastive_gru,Contrastive GRU,vibrant-bird-4,history-2step,True,2,500.0,model_weight/selftouch_contrastive_gru/vibrant-bird-4/epoch499.pth,True,48.416452407836914,96.6896079299581,86.89857864349179,99.40390682220459,91.1319500207901,91.1319500207901,77.56481233051663,139.79612350463867,0.5644704103469849,22.335834503173828,22.307388305664062,3.1135916074117023,0.58362877368927,8.617604287465413,1.1278585195293853,5.542093912760417,7.640678452348109,4.913820143924553,86.89857864349179,500.0,96.6896079299581,500.0,48.416452407836914,500.0,54.75448989868164,95.98781676413255,84.45464577687358,116.81383514404297,93.85985016822815,69.65881148680975,50.64822006225586,97.42755035737491,86.14236700975984,110.0508041381836,98.91588091850281,82.16770753659134,61.07720947265625,94.73843972481004,81.24297147656202,121.3414077758789,87.12851444880168,67.84043803063554,27.185890197753906,98.60462487351492,95.75433031077173,49.40958023071289,84.62355454762776,90.59229226802988,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
selftouch_contrastive_transformer,Contrastive Transformer,devout-cloud-8,history-2step,True,2,500.0,model_weight/selftouch_contrastive_transformer/devout-cloud-8/epoch499.pth,True,58.21199035644531,95.08959137262451,82.36381652483404,116.04983329772949,94.46252092719078,94.46252092719078,72.61131021764689,157.46603202819824,0.5652019381523132,22.508241653442383,22.478530883789062,3.12808244228363,0.5790122747421265,8.119699275493621,1.4568987786646104,3.903906206289927,5.573276190770176,2.6796001640335216,82.36381652483404,500.0,95.08959137262451,500.0,58.21199035644531,500.0,68.3684310913086,93.89067112225007,78.6330673312964,140.06080627441406,97.4357255299886,61.224784983922476,60.775630950927734,95.06518147219901,78.65960494320642,134.36363220214844,87.88829565048218,75.46616368267452,69.8949203491211,93.08215203790796,76.93632280492935,136.6288299560547,94.56903378168742,63.73545255037574,33.80897903442383,98.32036085814096,95.22627101990399,53.14606475830078,97.95702874660492,90.01883965361479,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
selftouch_transformer,Transformer,misty-meadow-8,history-2step,True,2,500.0,model_weight/selftouch_transformer/misty-meadow-8/epoch499.pth,True,56.97803020477295,95.18767527404519,82.34856804573528,115.30052471160889,95.15835210680962,95.15835210680962,72.30854200665193,159.14056396484375,0.5620819330215454,22.41940689086914,22.390045166015625,3.1263364632924397,0.29714205861091614,7.7764275709788,2.246502050900974,4.262396613756816,3.461571543128578,1.8973481960754741,82.34856804573528,500.0,95.18767527404519,500.0,56.97803020477295,500.0,65.29315185546875,93.98525480367586,78.59234124332805,137.89871215820312,98.37816506624222,60.88237257585367,60.70832824707031,95.09518240044555,78.3722505357361,135.658935546875,88.67572704950967,74.58841701135427,68.37568664550781,93.37402825345791,77.14824529537357,135.1665802001953,95.19526680310567,63.78089601205914,33.53495407104492,98.29623563860146,95.28143510850342,52.47787094116211,98.38424950838089,89.98248242734064,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273
