variant,model,run,condition,use_tactile_history,history_steps,epoch,checkpoint,manifest_ok,prediction_raw_mae,prediction_raw_accuracy,prediction_active_taxel_accuracy,prediction_active_taxel_mae,prediction_profile_accuracy,prediction_line_accuracy,prediction_peak_accuracy,prediction_peak_mae,pca_total_explained_variance,pca_raw_pred_gap,pca_centroid_raw_pred_gap,pca_raw_combo_centroid_spread,latent_pca_total_explained_variance,latent_combo_centroid_spread,latent_combo_within_spread,latent_combo_nearest_centroid_distance,latent_combo_separation_ratio,latent_combo_nearest_separation_ratio,best_active_acc,best_active_epoch,best_raw_acc,best_raw_epoch,best_raw_mae,best_mae_epoch,index_raw_mae,index_raw_accuracy,index_active_taxel_accuracy,index_active_taxel_mae,index_profile_accuracy,index_peak_accuracy,thumb_raw_mae,thumb_raw_accuracy,thumb_active_taxel_accuracy,thumb_active_taxel_mae,thumb_profile_accuracy,thumb_peak_accuracy,middle_raw_mae,middle_raw_accuracy,middle_active_taxel_accuracy,middle_active_taxel_mae,middle_profile_accuracy,middle_peak_accuracy,ring_raw_mae,ring_raw_accuracy,ring_active_taxel_accuracy,ring_active_taxel_mae,ring_profile_accuracy,ring_peak_accuracy,zero_baseline_raw_accuracy,zero_baseline_active_taxel_accuracy,train_mean_baseline_raw_accuracy,train_mean_baseline_active_taxel_accuracy,previous_timestep_baseline_raw_accuracy,previous_timestep_baseline_active_taxel_accuracy,score_prediction_raw_mae,score_prediction_raw_accuracy,score_prediction_active_taxel_accuracy,score_prediction_active_taxel_mae,score_prediction_profile_accuracy,score_prediction_peak_accuracy,score_prediction_peak_mae,score_pca_total_explained_variance,score_pca_raw_pred_gap,score_pca_centroid_raw_pred_gap,score_latent_combo_separation_ratio,score_latent_combo_nearest_separation_ratio,overall_score,prediction_score,representation_score
selftouch_contrastive_fcn,Contrastive FCN,zesty-sound-7,history-2step,True,2,500.0,model_weight/selftouch_contrastive_fcn/zesty-sound-7/epoch499.pth,True,47.80475091934204,96.90886826634366,88.316806914646,93.4334487915039,95.97407097617784,95.97407097617784,79.73434318696772,130.94170379638672,0.5609327554702759,22.36822509765625,22.340391159057617,3.101140793164571,0.5249521732330322,8.236227019627888,0.8175832154755279,5.192482550938924,10.073869991126813,6.351014126334332,88.316806914646,500.0,96.90886826634366,500.0,47.80475091934204,500.0,54.09695816040039,96.02847396268449,85.49456860375206,111.2702407836914,96.94125314553578,71.89909543042158,48.12291717529297,97.89807852965747,88.67415031700033,101.32376098632812,97.8402692079544,84.99439341170181,60.40361022949219,95.09241230566457,83.24437774768535,113.19136810302734,97.29838073253632,70.94699740639754,28.595518112182617,98.61650826736809,95.85413099014626,47.94842529296875,91.81638081868489,91.09688649934998,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,98.0016997439982,98.92000248133378,98.5581033824022,98.52190524848038,81.37595340538253,98.34932422573152,97.68162573884405,20.601490103187185,81.13865426340129,80.729813559207,85.21202388939666,82.26249655731124,85.11275771655635,95.91551631802466,69.98889567450068
selftouch_contrastive_temporal,Contrastive Temporal,serene-jazz-9,history-2step,True,2,500.0,model_weight/selftouch_contrastive_temporal/serene-jazz-9/epoch499.pth,True,49.94673299789429,96.63163906067821,87.7803985739648,93.51871013641357,98.82359827558199,98.82359827558199,79.44355033015715,127.47102737426758,0.5581004619598389,22.229326248168945,22.202369689941406,3.1001789887746174,0.5967008471488953,8.694452333450318,0.9658232743347503,5.173016468683879,9.002115153457005,5.356069382617645,87.7803985739648,500.0,96.63163906067821,500.0,49.94673299789429,500.0,55.90205001831055,95.73235867446394,85.03625935573956,109.73770904541016,98.97872030735016,71.51913170221526,52.655662536621094,97.33663789102386,87.48165173267601,103.2630386352539,98.9034453034401,84.34313805573915,62.641258239746094,94.66897655826152,82.20591222964966,115.4056625366211,98.77675344546635,69.64775775309792,28.587961196899414,98.78858311896353,96.397770977794,45.66843032836914,98.63547404607137,92.26417380957628,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,93.48272185307407,95.91699949874732,96.53502492932013,98.44967819849161,99.99999999999999,97.46932738322407,99.65168239001473,11.611301778058628,93.21840186314385,93.00813090899219,74.05331926288223,66.91737717197708,85.02616376982716,97.35791917898169,67.7617061970108
selftouch_contrastive_mamba,Contrastive Mamba,misty-sky-6,history-2step,True,2,500.0,model_weight/selftouch_contrastive_mamba/misty-sky-6/epoch499.pth,True,49.30939531326294,96.67221708008569,87.57809653546896,96.86236190795898,94.65287759900093,94.65287759900093,79.17450635257173,133.26715660095215,0.5648690462112427,22.427898406982422,22.39959716796875,3.1098018805185954,0.6365031003952026,8.997841540972392,0.9579613402213567,5.288974642753601,9.392697975570972,5.521073158893317,87.57809653546896,500.0,96.67221708008569,500.0,49.30939531326294,500.0,56.72996139526367,95.78607630186578,84.50832163474892,116.37418365478516,96.13510052363078,70.56115580181805,51.117713928222656,97.48525016244315,87.59868092335365,106.7028579711914,96.93523049354553,84.32345930210971,61.42888259887695,94.79609825803996,82.23952075005154,116.62964630126953,98.60810140768686,70.19485269668152,27.961023330688477,98.62144359799389,95.96586283372169,47.742759704589844,86.93307797114053,91.61855760967764,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,94.82732456228463,96.35654883488456,95.77203736172231,95.61718589023255,72.74084855055695,96.65514696157413,96.3616312457186,33.09595613693208,75.94898913829597,75.46287812459701,78.11991937605376,69.46224477590317,81.70172591322965,92.61867477242482,66.4179975103564
selftouch_contrastive_gru,Contrastive GRU,pleasant-durian-1,history-2step,True,2,500.0,model_weight/selftouch_contrastive_gru/pleasant-durian-1/epoch499.pth,True,49.244256019592285,96.56037936752567,86.42950925819078,100.20040225982666,91.82905157407124,91.82905157407124,76.72434213538351,140.76426696777344,0.5640721321105957,22.234466552734375,22.207931518554688,3.1791205565134684,0.6047508716583252,8.850031805038451,0.9954179363121028,5.062045653661092,8.890769878857816,5.0853470376627214,86.42950925819078,500.0,96.56037936752567,500.0,49.244256019592285,500.0,55.75608444213867,95.70320245057087,83.51391068036965,118.65957641601562,90.32866160074869,67.42659412307933,51.45997619628906,97.34480646059593,85.41043491777978,112.43054962158203,95.3403639793396,81.29255994593912,61.193904876708984,94.69544822658683,81.27559817501958,120.62240600585938,90.53683837254842,67.96657134623484,28.567058563232422,98.49806033234903,95.51809325959407,49.08907699584961,91.11034234364827,90.21164312628076,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,94.96475009486755,95.145100049836,91.44010961951979,92.78944715805184,54.284781302357196,89.24046422693274,92.10605384628509,30.56641327092407,92.7713601348258,92.51335355879978,72.89403452056946,62.74200288124777,80.1214892220181,87.13867232826432,70.29743287327338
selftouch_temporal_mixer,Temporal Mixer,lunar-haze-8,history-2step,True,2,500.0,model_weight/selftouch_temporal_mixer/lunar-haze-8/epoch499.pth,True,49.23747205734253,96.63184339378148,87.38155182163578,94.979248046875,97.99570200343928,97.99570200343928,78.62205340422557,130.1168727874756,0.5570835471153259,22.151348114013672,22.1237735748291,3.1353047211964924,0.29373055696487427,8.251355918248494,1.9002008847675698,5.026047468185425,4.342359791742645,2.645008487510627,87.38155182163578,500.0,96.63184339378148,500.0,49.23747205734253,500.0,56.075103759765625,95.59302422723476,84.00919245985571,112.68903350830078,99.08385554949443,69.26772144152564,52.6081657409668,97.28625266870881,86.9862207565815,105.44258117675781,97.95756300290425,83.68334286329578,61.067771911621094,94.86486246603671,82.08628100197195,117.05520629882812,98.45407793919246,69.61561481678527,27.1988468170166,98.78323421314562,96.44451306813396,44.73017120361328,96.48731152216592,91.9215344952956,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,94.97906234132678,95.91921287636417,95.03076369860564,97.2124194526771,94.58900472681204,94.98331480066501,98.14982375489679,8.38343858905618,100.0,100.0,25.537714867535495,25.10444900782345,77.49076700964687,95.83765737876392,51.805120492883034
selftouch_fcn,FCN,ancient-resonance-6,history-2step,True,2,500.0,model_weight/selftouch_fcn/ancient-resonance-6/epoch499.pth,True,47.302072048187256,96.91997603672289,88.43870049190696,92.25078964233398,97.78412555654845,97.78412555654845,80.0308899747889,129.61756706237793,0.5629357099533081,22.359909057617188,22.332534790039062,3.1205322186152142,0.2974627614021301,8.135499922434489,1.7649314620368108,4.457982619603475,4.609527393797918,2.525867273315396,88.43870049190696,500.0,96.91997603672289,500.0,47.302072048187256,500.0,53.36117172241211,96.07840434419381,85.66760755816136,108.74918365478516,97.67664551734924,72.66096999232285,49.392723083496094,97.73901420217209,88.37968977271466,101.27803802490234,98.82941683133443,84.66096849171636,59.00666427612305,95.24680448354175,83.81519392116272,110.75155639648438,96.77042345205943,71.54773780230987,27.447729110717773,98.61568111698388,95.89231071558912,48.22438049316406,97.86001642545065,91.25388361280655,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,99.06221034664458,99.04032410292713,99.01782828043898,99.52376584049046,93.20617550947398,99.24673360435449,98.43324417358728,26.95921324973418,81.86188318194183,81.42871201786356,28.31936254695322,23.266923690879736,77.44719804544077,98.21861169398812,48.367218937474505
selftouch_mamba,Mamba,confused-capybara-6,history-2step,True,2,500.0,model_weight/selftouch_mamba/confused-capybara-6/epoch499.pth,True,49.64747714996338,96.602629681884,86.96871406925601,98.36007118225098,96.90442788104215,96.90442788104215,78.72030177800255,134.75338745117188,0.5682069063186646,22.4274959564209,22.39998435974121,3.1704808473587036,0.3255227506160736,8.29845560391744,1.534674080008288,4.603558719158173,5.407308113181023,2.9996979678794804,86.96871406925601,500.0,96.602629681884,500.0,49.64747714996338,500.0,56.42380142211914,95.86393762183236,84.48561261795551,116.8576889038086,98.64018201828003,70.61845633476864,51.8470573425293,97.37454747981063,86.94114120115918,108.51737213134766,98.74190916617711,83.24966768897173,62.009883880615234,94.57256465643968,80.52926244780295,120.17876434326172,96.13258997599284,69.76746248143468,28.309165954589844,98.59946896945334,95.9188400101064,47.88645935058594,94.10303036371866,91.24562060683516,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,94.11406726631093,95.60276402405086,93.47373503570734,94.34843833836663,87.45661469592017,95.28063386019596,95.51800348687883,43.690900078326905,75.98398943687671,75.42843374802327,36.62555263019958,30.574855736794554,76.5081656948043,93.68489381534722,52.4607463260442
selftouch_gru_attention,GRU-Attention,gallant-mountain-5,history-2step,True,2,500.0,model_weight/selftouch_gru_attention/gallant-mountain-5/epoch499.pth,True,48.27044630050659,96.65354210011279,86.87661058140606,98.05876731872559,94.16804884870848,94.16804884870848,77.29040610488718,138.89672088623047,0.5625839829444885,22.215986251831055,22.189918518066406,3.1347749630610147,0.4305160343647003,12.815778684616088,4.458295197854208,7.272766987482707,2.8745917701421755,1.6312887919541785,86.87661058140606,500.0,96.65354210011279,500.0,48.27044630050659,500.0,55.70760726928711,95.70942634363688,83.70346528335598,116.90902709960938,96.39321168263754,68.20682710815893,50.50104522705078,97.36344565116495,86.1847817638764,108.22669982910156,97.74673203627269,82.30100324513786,59.81405258178711,94.912436025877,81.7726266531427,119.25752258300781,87.86358118057251,67.86814745849128,27.059080123901367,98.6288603797723,95.84556862524916,47.841819763183594,94.66867049535117,90.78564660776061,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,97.0192138714691,96.15425766421318,93.12636425939479,94.60368049101758,69.5720867570676,90.95348603662927,93.1661271956367,25.842771031909702,94.37855394027058,94.11578061477273,10.255871261498951,9.469761906036211,72.38816291915968,90.65645946791832,46.812547750897636
selftouch_contrastive_transformer,Contrastive Transformer,treasured-thunder-7,history-2step,True,2,500.0,model_weight/selftouch_contrastive_transformer/treasured-thunder-7/epoch499.pth,True,57.36019229888916,95.09990977978016,81.41448733648643,118.77073383331299,93.46927404403687,93.46927404403687,71.0531506721939,164.35297012329102,0.5691237449645996,22.578550338745117,22.549819946289062,3.1430341720581056,0.5600330233573914,8.201187944412231,0.8933321439051549,4.173491994539897,9.180446489433555,4.671825617172684,81.41448733648643,500.0,95.09990977978016,500.0,57.36019229888916,500.0,66.17362213134766,93.78979392926762,77.3695263762415,141.293212890625,97.18723634878795,58.59035125783014,60.45101547241211,95.31378446115288,77.67074159199672,138.42581176757812,87.2536547978719,73.72292314889762,69.94207000732422,93.04815824421611,75.43337998246315,140.52999877929688,98.21739971637726,62.14049788299971,32.874061584472656,98.24790248448404,95.18430139524438,54.83391189575195,91.21880531311035,89.75883039904811,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,77.84241420908803,79.32499726719767,72.5258198479439,77.0580477966258,65.00500837741136,72.07831438735427,78.71642142539704,46.601104144515034,62.84710011744176,62.099138720908925,75.91003745427433,56.364226018878114,68.86438581391968,74.6501461872883,60.764321291203636
selftouch_transformer,Transformer,magic-sea-7,history-2step,True,2,500.0,model_weight/selftouch_transformer/magic-sea-7/epoch499.pth,True,57.246015548706055,95.11883617442831,82.22615550395017,115.80918312072754,96.06664612889291,96.06664612889291,72.67565903734175,157.57890510559082,0.5620973110198975,22.29059410095215,22.262731552124023,3.135557428995768,0.32214421033859253,8.213052113850912,2.480657559024337,4.9772102038065595,3.3108367110054373,2.0064076098291204,82.22615550395017,500.0,95.11883617442831,500.0,57.246015548706055,500.0,66.19074249267578,94.01652742968533,79.05402869218585,137.16903686523438,97.66076068083446,62.0943066635513,60.96614074707031,95.17358210340666,78.41222255532239,135.30384826660156,93.88498107592265,74.41613509278719,69.14460754394531,93.02572500307875,76.29028396556373,137.58621215820312,96.48474454879761,63.986610804460106,32.68257141113281,98.25951016154248,95.14808680272873,53.177635192871094,96.23609821001689,90.2055835885684,85.67421780394847,0.3777182563910174,87.11112744344076,18.734276389362535,98.52728917896566,93.25216413264273,78.08329494049161,79.53001181262252,75.58704812519849,79.5668525966066,81.98100953452713,76.98834640785245,82.56157730294626,24.29799036616883,87.89006256925414,87.63837137485662,14.797888025788223,15.255252085594876,65.34814209515899,79.18544867432072,45.97591288433254
