variant,model,delta_overall_score,delta_prediction_score,delta_representation_score,delta_prediction_raw_mae,delta_prediction_raw_accuracy,delta_prediction_active_taxel_accuracy,delta_prediction_profile_accuracy,delta_prediction_peak_accuracy,delta_latent_combo_separation_ratio,history_score,no_score
selftouch_fcn,FCN,55.95898139733352,83.50344995208074,17.396725420687417,-42.99572753906251,7.99565501266332,24.27901097796115,5.682484199603408,31.013149820067817,0.020828969241903472,75.76043514805055,19.80145375071703
selftouch_contrastive_temporal,Contrastive Temporal,54.96580628110294,80.30755565342251,19.487357159855534,-41.814589214324954,7.977829198639611,23.908565421304097,2.3886986027161186,30.73610650289929,0.027007408122298848,81.30809611991364,26.3422898388107
selftouch_temporal_mixer,Temporal Mixer,54.2376399195183,80.41422629521863,17.590418993537895,-42.06188430786132,8.056267253468164,23.98632612219808,2.381238743662834,30.51570392746538,-0.04128602838271256,76.26837425244985,22.030734332931544
selftouch_contrastive_fcn,Contrastive FCN,53.59468155821907,83.3649883587013,11.916252037543963,-42.47931756973266,7.943219603505852,24.390461071566833,5.36758254468441,31.213900131859965,-0.9602435083421827,81.75912158849165,28.16444003027258
selftouch_contrastive_gru,Contrastive GRU,52.26388372084191,75.06946369897909,20.336071751449857,-41.7215844154358,7.7140373902291515,22.242748200712327,3.1570816934108734,27.101452048020953,-0.6351743867799833,78.15318465387176,25.88930093302985
selftouch_gru_attention,GRU-Attention,51.38453861088948,76.04364030847607,16.861796234268226,-40.85204315185547,7.538141130313562,22.477900222214643,4.654736205935478,27.557759382591186,-0.9374529070021591,71.39422923639279,20.00969062550331
selftouch_mamba,Mamba,48.55198491325433,65.98975825302794,24.13910223757124,-35.8934515953064,6.844781181292902,19.22638770697344,2.893253346284226,24.838783530380546,1.348018143556014,75.54503179550986,26.993046882255527
selftouch_transformer,Transformer,48.213226601515714,66.60349270071967,22.466854062630176,-35.406622600555416,6.923619701263732,18.76108143863238,3.1079511592785423,23.94798277153047,0.7205128404733414,62.572673141956635,14.359446540440922
selftouch_contrastive_transformer,Contrastive Transformer,46.58734009256878,67.59699393920118,17.173824707283394,-35.64273319244384,7.005875809510258,18.89870958472377,3.559048836429909,24.059316883999855,-0.14552112472058099,66.28757899641829,19.700238903849513
selftouch_contrastive_mamba,Contrastive Mamba,45.24506689660624,67.98968597578391,13.402600185757471,-35.90513763427735,6.784593555510625,19.539663524797987,4.378927990794182,25.16832733332474,-1.7070115128113592,79.4641889254865,34.21912202888026
