variant,model,condition,index_active_mean,index_mae_mean,thumb_active_mean,thumb_mae_mean,middle_active_mean,middle_mae_mean,ring_active_mean,ring_mae_mean
selftouch_contrastive_fcn,Contrastive FCN,history-2step,85.78787150825407,53.66594009399414,88.379378879229,48.63646621704102,83.24010304598929,60.034272003173825,95.89323713539767,28.236726760864258
selftouch_fcn,FCN,history-2step,85.86511970091662,53.532711029052734,88.4341405460622,48.92416915893555,83.39337300397486,59.2034294128418,95.81325622526037,27.408318328857423
selftouch_temporal_mixer,Temporal Mixer,history-2step,84.38961541060155,56.835958862304686,87.15197139779931,52.51522674560547,81.73287041687405,62.3109992980957,96.41023553521799,28.27390823364258
selftouch_contrastive_temporal,Contrastive Temporal,history-2step,84.45008520573244,56.834310150146486,87.0863728723227,52.660753631591795,81.98821964716339,61.98783645629883,96.44274444849948,28.283222579956053
selftouch_mamba,Mamba,history-2step,84.72233065829874,55.83936462402344,86.74909785372462,51.66393127441406,81.69608985634434,61.50305023193359,95.90328738665393,28.612434005737306
selftouch_contrastive_mamba,Contrastive Mamba,history-2step,84.28256397937045,55.90182952880859,87.11159965801717,51.3433952331543,81.78667425942304,61.15601577758789,95.95407203615844,28.562664031982422
selftouch_gru_attention,GRU-Attention,history-2step,83.94842238020524,54.87748641967774,86.42265969376993,50.2537841796875,81.85730501960245,59.92191772460937,95.7732798068555,27.519772338867188
selftouch_contrastive_gru,Contrastive GRU,history-2step,83.90056453489682,54.92689056396485,85.85470170880384,50.73059921264648,80.90658417348341,60.9128921508789,95.68656129811066,27.640030288696288
selftouch_contrastive_transformer,Contrastive Transformer,history-2step,78.42733489981757,66.3149169921875,77.2744856378313,60.894011688232425,75.79984124694408,69.61554260253907,95.22090901434547,33.15911102294922
selftouch_transformer,Transformer,history-2step,78.48579654222377,66.44702911376953,77.75881327515182,61.226654052734375,76.53185747872655,68.38348693847657,95.1579405406923,33.066521072387694
