variant,model,delta_prediction_raw_mae,delta_prediction_raw_accuracy,delta_prediction_active_taxel_accuracy,delta_prediction_active_taxel_mae,delta_prediction_profile_accuracy,delta_prediction_line_accuracy,delta_prediction_peak_accuracy,delta_prediction_peak_mae,delta_pca_total_explained_variance,delta_pca_raw_pred_gap,delta_pca_centroid_raw_pred_gap,delta_pca_raw_combo_centroid_spread,delta_latent_pca_total_explained_variance,delta_latent_combo_centroid_spread,delta_latent_combo_within_spread,delta_latent_combo_nearest_centroid_distance,delta_latent_combo_separation_ratio,delta_latent_combo_nearest_separation_ratio,no_active_mean,hist_active_mean,no_raw_mae_mean,hist_raw_mae_mean,no_raw_acc_mean,hist_raw_acc_mean,no_latent_sep_mean,hist_latent_sep_mean
selftouch_contrastive_fcn,Contrastive FCN,-42.47931756973266,7.943219603505852,24.390461071566833,-109.76682567596436,5.36758254468441,5.36758254468441,31.213900131859965,-164.50240173339841,-0.01317816972732544,-0.7297836303710916,-0.6968132019042983,0.07252483367919949,-0.03784300088882453,-0.5167559790611254,0.06367260187406387,-0.687210190296172,-0.9602435083421827,-0.9107893556160764,63.93468657065067,88.3251476422175,90.12266883850097,47.64335126876831,88.98557576425098,96.92879536775683,9.518446676860748,8.558203168518565
selftouch_fcn,FCN,-42.99572753906251,7.99565501266332,24.27901097796115,-109.2734998703003,5.682484199603408,5.682484199603408,31.013149820067817,-162.2110652923584,-0.013347637653350897,-0.7428020477294908,-0.7084487915039084,0.051557464599609304,-0.02515677213668821,-0.4146888613700863,-0.13522046595267279,-0.09852830966313686,0.020828969241903472,0.09798742522133841,64.09746139109235,88.3764723690535,90.26288452148438,47.267156982421874,88.93348947672479,96.92914448938811,4.625248072585491,4.646077041827395
selftouch_temporal_mixer,Temporal Mixer,-42.06188430786132,8.056267253468164,23.98632612219808,-110.22456760406494,2.381238743662834,2.381238743662834,30.51570392746538,-167.6177375793457,-0.004478049278259233,-0.5964542388915994,-0.5545875549316435,0.1369260191917423,0.008805334568023682,0.027423453728358638,0.01962387462848958,0.2259247163931528,-0.04128602838271256,0.08998414366702345,63.43484706792513,87.42117319012321,92.04590759277343,49.98402328491211,88.51295754741643,96.5692248008846,4.356995338644181,4.315709310261468
selftouch_contrastive_temporal,Contrastive Temporal,-41.814589214324954,7.977829198639611,23.908565421304097,-109.80632438659669,2.3886986027161186,2.3886986027161186,30.73610650289929,-168.59818077087402,-0.010562777519226074,-0.7559364318847663,-0.7132125854492202,0.0899393057823179,-0.00229345560073857,-0.004103689988454562,-0.002307026213858032,0.1721508065859476,0.027007408122298848,0.096894875953212,63.58329012212541,87.49185554342951,91.75611991882325,49.94153070449829,88.60291640516137,96.58074560380098,7.268559996727566,7.295567404849865
selftouch_gru_attention,GRU-Attention,-40.85204315185547,7.538141130313562,22.477900222214643,-99.58512287139894,4.654736205935478,4.654736205935478,27.557759382591186,-143.59658851623533,-0.003001058101653964,-0.6436820983886733,-0.6091491699218743,0.1755327598253884,0.02717362642288207,-0.2836649755636813,0.9756096777329812,0.20014878908793055,-0.9374529070021591,-0.42624660230654254,64.52251650289364,87.00041672510828,88.99528331756592,48.14324016571045,89.17211287177888,96.71025400209244,3.8949906731909083,2.957537766188749
selftouch_contrastive_gru,Contrastive GRU,-41.7215844154358,7.7140373902291515,22.242748200712327,-100.27470169067382,3.1570816934108734,3.1570816934108734,27.101452048020953,-145.20495948791503,-0.0002672910690307839,-0.6136260986328104,-0.5821338653564432,0.21919725418090863,-0.08335407972335818,-0.6954134734471626,-0.006864170637910005,0.3024700244267784,-0.6351743867799833,0.25869383072481433,64.34435472811134,86.58710292882367,90.27418746948243,48.55260305404663,88.90886810384283,96.62290549407199,8.26219372807751,7.627019341297526
selftouch_contrastive_mamba,Contrastive Mamba,-35.90513763427735,6.784593555510625,19.539663524797987,-87.32512969970703,4.378927990794182,4.378927990794182,25.16832733332474,-130.77553443908693,-0.014254331588745117,-0.7626663208007827,-0.7340747833251946,0.038855873743692815,-0.034585666656494096,-0.3483871014912925,0.16137365707013762,0.5603179693222042,-1.7070115128113592,-0.10367347335305599,67.74406395844429,87.28372748324227,85.14611377716065,49.2409761428833,89.82871384212697,96.6133073976376,9.733573491583648,8.026561978772289
selftouch_mamba,Mamba,-35.8934515953064,6.844781181292902,19.22638770697344,-85.64527282714843,2.893253346284226,2.893253346284226,24.838783530380546,-128.45917243957518,-0.014779865741729736,-0.8140506744384766,-0.787015533447267,0.06687435626983662,-0.019541615247726407,-0.10177668968836429,-0.6219579470897731,0.09355130990346261,1.348018143556014,0.8276876709976304,68.04131373178197,87.26770143875541,85.2981466293335,49.4046950340271,89.8000044410451,96.644785622338,3.8349898709851855,5.183008014541199
selftouch_contrastive_transformer,Contrastive Transformer,-35.64273319244384,7.005875809510258,18.89870958472377,-90.1318748474121,3.559048836429909,3.559048836429909,24.059316883999855,-138.10809288024902,-0.0055692195892333984,-0.6247219085693345,-0.5764247894287102,0.13516227563222216,-0.03972131013870239,-0.5411230715115884,-0.011841598195193814,-0.2645648519198103,-0.14552112472058099,-0.03548764894948597,62.78193311501084,81.6806426997346,93.1386287689209,57.495895576477054,88.07863168265973,95.08450749216999,6.389106906628042,6.243585781907461
selftouch_transformer,Transformer,-35.406622600555416,6.923619701263732,18.76108143863238,-89.01724967956542,3.1079511592785423,3.1079511592785423,23.94798277153047,-136.66903419494628,-0.0064279675483703835,-0.6845474243164062,-0.6424777984619148,0.13136288245519,-0.017639124393463157,0.1613475886980682,-0.6770020864384119,0.5501087228457133,0.7205128404733414,0.5542257337572312,63.22252052056623,81.98360195919861,92.68754539489746,57.28092279434204,88.18920175711202,95.11282145837575,2.5505511846080853,3.2710640250814267
